Ibge,Asma,Diabetes,DPOC,Hipertensão arterial,Obesidade,Tabagismo,Usuário de álcool,Saúde mental,D.Transmissíveis - Hanseníase,D.Transmissíveis - Tuberculose,Rast. câncer de mama,Rast. câncer do colo do útero,ano,referencia,população
420040,0,2,0,1,0,0,0,5,0,0,0,0,2015,201502,7132
421930,0,0,0,0,0,0,0,3,0,0,0,0,2015,201502,50926
420290,11,46,11,110,26,7,0,113,0,6,52,57,2015,201502,122775
421830,0,1,0,13,0,0,0,5,0,0,0,0,2015,201502,18945
420230,11,53,4,0,0,3,0,1,0,0,0,0,2015,201502,64488
421175,4,37,3,147,6,3,1,142,0,0,1,1,2015,201502,17835
420980,0,0,0,1,0,0,0,1,0,0,0,0,2015,201502,3218
420450,2,14,2,50,5,0,0,21,0,0,0,0,2015,201502,15132
420590,0,0,0,1,0,0,0,1,0,0,0,0,2015,201502,65024
421150,1,2,1,3,0,0,0,0,0,0,0,0,2015,201502,13621
421320,28,134,9,405,3,0,4,478,0,0,31,3,2015,201502,31181
421725,1,8,0,6,5,0,0,7,0,0,0,85,2015,201502,5373
421970,0,1,1,3,1,0,0,0,0,0,0,0,2015,201502,27630
420460,0,0,0,0,0,21,22,2,0,0,0,0,2015,201502,206918
420750,0,11,0,0,0,0,0,0,0,0,0,0,2015,201502,63489
421003,0,56,4,125,15,8,1,69,4,1,29,65,2015,201502,5701
421565,0,0,0,1,0,0,0,0,0,0,0,0,2015,201502,8309
420210,15,194,27,416,96,14,12,184,0,2,29,34,2015,201502,26374
421290,0,7,1,2,0,1,8,83,0,0,1,0,2015,201502,18696
421000,3,14,0,45,2,4,4,66,0,0,1,18,2015,201502,11908
420970,0,0,0,1,1,2,0,7,0,0,0,0,2015,201502,12105
421870,2,4,0,6,3,1,0,3,0,0,0,0,2015,201502,102883
420430,20,377,70,1143,212,68,23,736,2,2,105,221,2015,201502,72642
421280,0,16,0,18,34,0,0,137,0,0,0,0,2015,201502,20617
421500,9,87,5,345,2,3,4,104,0,0,1,0,2015,201502,41602
421950,0,3,0,15,10,1,0,53,0,0,0,0,2015,201502,48370
421630,16,70,6,214,22,25,6,299,0,0,30,46,2015,201502,32720
420890,4,10,2,25,5,0,0,11,0,0,0,0,2015,201502,163735
420320,8,171,11,491,35,19,11,237,0,3,1,1,2015,201502,74434
421570,11,48,4,138,21,11,3,52,0,1,5,3,2015,201502,21920
420110,0,4,2,11,2,1,1,37,0,0,5,3,2015,201502,3253
420810,1,23,3,70,3,3,0,63,0,0,0,0,2015,201502,21263
421700,6,6,0,7,1,1,0,77,0,0,0,0,2015,201502,12441
421540,0,4,6,2,2,0,0,11,0,0,0,0,2015,201502,4576
421350,6,28,0,57,3,2,0,21,0,0,1,0,2015,201502,19189
420757,0,0,0,0,0,0,0,0,0,0,0,1,2015,201502,2880
421635,0,13,4,37,4,0,1,96,0,0,8,14,2015,201503,3634
421580,7,28,0,122,0,0,1,33,0,0,0,0,2015,201503,80936
420280,0,0,0,12,12,0,0,0,0,0,0,0,2015,201503,31765
421010,2,10,0,43,0,0,0,15,0,0,0,0,2015,201503,55313
420287,2,4,2,19,0,0,0,23,0,0,0,0,2015,201503,2639
420080,2,17,2,82,16,6,2,106,0,0,1,49,2015,201503,5987
421750,0,0,0,0,0,0,0,0,0,0,0,1,2015,201503,17439
421205,3,3,1,22,3,2,0,9,0,1,0,1,2015,201503,2537
421220,10,113,7,352,4,15,3,53,0,0,3,70,2015,201503,18793
420130,12,97,19,265,111,11,8,111,2,2,56,69,2015,201503,32454
421660,3,0,0,0,0,0,0,0,0,0,0,0,2015,201503,232309
421560,0,0,0,0,0,0,0,1,0,0,0,0,2015,201503,2128
420910,0,29,2,51,8,0,0,14,0,0,0,0,2015,201503,562151
